2023: 7:12: 8:41:53:620
      time   velocity     latpos     clutch       ypos    heading  traflight       gear     segnum 

    5.0000,    8.3273,   -0.2680,    0.0000,  277.7797,  359.4443,    0.0000,    2.0000,    1.0000
    5.1000,    8.4022,   -0.2718,    0.0000,  278.6144,  359.4322,    0.0000,    2.0000,    1.0000
    5.2000,    8.4769,   -0.2754,    0.0000,  279.4564,  359.4312,    0.0000,    2.0000,    1.0000
    5.3000,    8.5509,   -0.2789,    0.0000,  280.3055,  359.4365,    0.0000,    2.0000,    1.0000
    5.4000,    8.6242,   -0.2824,    0.0000,  281.1618,  359.4395,    0.0000,    2.0000,    1.0000
    5.5000,    8.6967,   -0.2863,    0.0000,  282.0251,  359.4304,    0.0000,    2.0000,    1.0000
    5.6000,    8.7686,   -0.2907,    0.0000,  282.8955,  359.4101,    0.0000,    2.0000,    1.0000
    5.7000,    8.8397,   -0.2955,    0.0000,  283.7728,  359.3874,    0.0000,    2.0000,    1.0000
    5.8000,    8.9101,   -0.3008,    0.0000,  284.6569,  359.3644,    0.0000,    2.0000,    1.0000
    5.9000,    8.9783,   -0.3064,    0.0000,  285.5476,  359.3438,    0.0000,    2.0000,    1.0000
    6.0000,    8.9498,   -0.3118,    0.0000,  286.4413,  359.3397,    0.0000,    2.0000,    1.0000
    6.1000,    8.8650,   -0.3169,   96.2513,  287.3266,  359.3446,    0.0000,    2.0000,    1.0000
    6.2000,    8.8178,   -0.3218,   99.8422,  288.2057,  359.3510,    0.0000,    2.0000,    1.0000
    6.3000,    8.7721,   -0.3266,   99.9927,  289.0799,  359.3578,    0.0000,    0.0000,    1.0000
    6.4000,    8.7265,   -0.3312,  100.0000,  289.9493,  359.3675,    0.0000,    3.0000,    1.0000
    6.5000,    8.6809,   -0.3352,  100.0000,  290.8137,  359.3892,    0.0000,    3.0000,    1.0000
    6.6000,    8.6354,   -0.3387,  100.0000,  291.6732,  359.4154,    0.0000,    3.0000,    1.0000
    6.7000,    8.5900,   -0.3418,  100.0000,  292.5276,  359.4420,    0.0000,    3.0000,    1.0000
    6.8000,    8.5447,   -0.3444,  100.0000,  293.3773,  359.4686,    0.0000,    3.0000,    1.0000
    6.9000,    8.5918,   -0.3467,   36.8081,  294.2242,  359.4958,    0.0000,    3.0000,    1.0000
    7.0000,    8.6593,   -0.3484,    1.1520,  295.0810,  359.5247,    0.0000,    3.0000,    1.0000
    7.1000,    8.6808,   -0.3499,    0.0413,  295.9395,  359.5520,    0.0000,    3.0000,    1.0000
